url	クリスマスプレゼント	クリスマス	サンタクロース	年末行事
https://www.creema.jp/feature/55	True	True	True	False
https://www.sowxp.co.jp/christmas	True	True	False	False
https://www.e87.com/selection/xmas/colum_02.html	True	True	True	False
https://nihon-nenchugyoji.com/nenmatsunenshi-nihon-dentogyoji/	False	True	True	False
https://giftmall.co.jp/christmas/	True	True	True	False
https://www.youtube.com/watch?v=QTcjfnhmhRU	False	True	False	False
https://www.afpbb.com/articles/-/3495437	False	True	False	False
https://www.ozmall.co.jp/xmas/present/	True	True	True	False
https://www.charity-santa.com/	True	True	True	False
https://www3.nhk.or.jp/lnews/tokushima/20231209/8020019214.html	False	True	True	False
https://tanp.jp/products/scene-christmas/relationship-female-friend	True	True	True	False
https://www.google.com/webhp?hl=ja&sa=X&ved=0ahUKEwi_uKyTqIaDAxU9HxAIHYc1C4MQPAgJ	False	False	False	False
https://www.ozmall.co.jp/xmas/	True	True	True	False
https://www.takashimaya.co.jp/shopping/gift/christmas/	True	True	True	False
https://bestpresent.jp/christmas/	True	True	True	False
https://search.rakuten.co.jp/search/mall/%E3%82%B5%E3%83%B3%E3%82%BF%E3%82%AF%E3%83%AD%E3%83%BC%E3%82%B9/	True	True	True	False
https://www.yasaka-jinja.or.jp/event/shougatsu/	False	False	False	False
https://www.kpal.or.jp/special/2023_nenmatu_nensi.html	False	True	False	False
https://giftmall.co.jp/christmas/femalefriend/	True	True	True	False
https://allabout.co.jp/gm/gc/435823/	False	True	True	False
https://more.hpplus.jp/morejapan/post/ruriko435/106908/	True	True	True	False
https://edvmagazine.jp/new-year-customs/	False	True	False	False
https://tanp.jp/products/scene-christmas?min_price=3000&max_price=4000	True	True	True	False
https://www.store-express.com/shop/pg/1column08/	True	True	True	False
https://giftmall.co.jp/christmas/wife/	True	True	True	False
https://santaclausvillage.jp/santavillage/knowledge/	True	True	True	False
https://www.city.kanoya.lg.jp/documents/4629/20181219chiebukuro.pdf	False	False	False	False
https://news.biglobe.ne.jp/trend/1211/stk_231211_1276181219.html	False	True	False	False
https://www.youtube.com/watch?v=jiknacNmyX0	False	True	True	False
https://event.rakuten.co.jp/xmas/	True	True	True	False
https://giftmall.co.jp/christmas/husband/	True	True	True	False
https://nenga.n-pri.jp/tips/tips51/	False	True	False	True
https://ja.wikipedia.org/wiki/%E3%82%B5%E3%83%B3%E3%82%BF%E3%82%AF%E3%83%AD%E3%83%BC%E3%82%B9#:~:text=%E3%82%B5%E3%83%B3%E3%82%BF%E3%82%AF%E3%83%AD%E3%83%BC%E3%82%B9%EF%BC%88%E8%8B%B1%3A%20Santa%20Claus%EF%BC%89,%E3%81%A4%E3%82%8B%E3%81%99%E3%81%A8%E3%81%84%E3%81%86%E7%BF%92%E6%85%A3%E3%81%8C%E3%81%82%E3%82%8B%E3%80%82	True	True	True	False
https://www.i879.com/xmas/column/01/	True	True	True	False
https://www.kyosei-tairyu.jp/nennmatsu/	False	True	True	False
https://www.google.com/webhp?hl=ja&sa=X&ved=0ahUKEwjMocSUqIaDAxWWPxAIHf4pDWsQPAgJ	False	False	False	False
https://www.youtube.com/watch?v=KoCVIEdl2Us	False	True	False	False
https://www.takashimaya.co.jp/shopping/gift/christmas/1000000784/	True	True	True	False
https://my-best.com/5525	True	True	True	False
https://bloomeelife.com/presents/campaign/christmas	False	True	False	False
https://www.yamada-heiando.jp/fs/heiando/c/nenmatunenshi	False	True	False	False
https://www.instagram.com/explore/tags/%E3%82%AF%E3%83%AA%E3%82%B9%E3%83%9E%E3%82%B9%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88%F0%9F%8E%81/top/	False	False	False	False
https://news.yahoo.co.jp/articles/3af3f5e39aed36b59bf3979d96d765381be4e918	False	True	True	False
https://ja.wikipedia.org/wiki/%E3%82%AF%E3%83%AA%E3%82%B9%E3%83%9E%E3%82%B9%E3%83%BB%E3%82%A4%E3%83%B4	True	True	True	False
https://happy-card.jp/ne/oshiete/history/2840.html	False	True	False	False
